tick,count,above10
CPPMF,32,1
HTGM,26,1
CNGO,24,1
INVVY,24,1
TGONF,23,1
EFLVF,23,1
SOIEF,21,1
TLGHF,20,1
AWLCF,20,1
VDNRF,17,1
OPESF,17,1
CCIH,16,1
FRRVF,16,1
BSYBF,16,1
SGAZF,15,1
CSUWF,14,1
SUPGF,14,1
SCOO,14,1
IMBI,14,1
TRSSF,14,1
OCINF,14,1
LUKOY,14,1
BPMUF,12,1
RCKZF,12,1
LDBKF,11,1
LOCM,11,1
SRGA,10,1
JCOUF,10,1
EORBF,10,1
SKYAY,9,0
ONCS,9,0
FRUTF,9,0
IDRSF,8,0
SWYDF,8,0
MXDHF,8,0
AKRTF,8,0
RIDE,7,0
FLOOF,7,0
CLCMF,7,0
MTTWF,7,0
OXYS,7,0
VTGDF,7,0
FFLWF,6,0
SGRCF,6,0
BGRP,6,0
GRPAF,6,0
BLLAF,6,0
VRUS,6,0
OPYGY,6,0
FNNNF,5,0
ARSUF,5,0
QNTFF,5,0
IMMVF,5,0
GRAMF,5,0
TTCF,5,0
LTTC,5,0
LLTHF,5,0
KUKAF,5,0
TCS.BO,5,0
SLGRF,4,0
WRCDF,4,0
MBNKF,4,0
PRPPF,4,0
ZLPSF,4,0
FPACX,4,0
HCXLF,4,0
NOBGF,4,0
SNNVF,4,0
PRBCF,4,0
LNGG,4,0
OIBZQ,4,0
MOMT,4,0
ABGOF,3,0
AUSAF,3,0
NSKFF,3,0
GGBXF,3,0
CMFO,3,0
PPLKF,3,0
SASDQ,3,0
EGDFF,2,0
WEJO,2,0
ATASF,2,0
GCFB,2,0
ARVCF,2,0
TNMRY,2,0
ROSYY,2,0
JWCAF,2,0
PHOJY,2,0
XAUMF,2,0
IITOF,2,0
BBLN,2,0
MLKKF,2,0
NVYTF,2,0
CYXT,2,0
CNVAF,2,0
ERFB,1,0
OAOFY,1,0
CBDHF,1,0
CHALF,1,0
RWBYF,1,0
APGMF,1,0
FIORF,1,0
BLEVF,1,0
iBio,1,0
ENCR,1,0
Al,1,0
GFKSY,1,0
PZOO,1,0
KRED,1,0
ALIOF,1,0
AOLS,1,0
TNHPF,1,0
NZEOF,1,0
MDCN,1,0
CIOIF,1,0
TBGNF,1,0
CCTC,1,0
NYRSY,1,0
TLGHY,1,0
NOBGY,1,0
AAVXF,1,0
TVL,1,0
MJARF,1,0
NEMTF,1,0
HRCXF,1,0
TCLRY,1,0
